,subject_id,trial_index,palette,concept,concept_cat,color_index,sem_contrast,rating,log_spec,accuracy
97,pv8mjorbc3,24,15,safety,features,67,0.872,0.75,-2.629543317344972,1
98,pv8mjorbc3,24,15,comfort,features,45,0.87,0.672,-11.512925464970229,1
99,pv8mjorbc3,24,15,sleeping,activities,24,0.977,0.8,-1.9968185602622677,1
100,pv8mjorbc3,25,8,carrot,vegetables,61,0.995,0.875,-0.015028558610303744,1
101,pv8mjorbc3,25,8,peach,fruits,47,0.995,0.875,-0.10535879219645802,1
102,pv8mjorbc3,25,8,cherry,fruits,49,1.0,0.875,-0.04344806670581117,1
103,pv8mjorbc3,25,8,corn,vegetables,68,1.0,0.875,-0.3982917379023851,1
104,pv8mjorbc3,26,9,driving,activities,62,0.994,0.7,-2.7531029318499223,1
105,pv8mjorbc3,26,9,grape,fruits,17,0.996,0.85,-1.1579603179296847,1
106,pv8mjorbc3,26,9,banana,fruits,58,0.996,0.75,9.999950000398841e-06,1
107,pv8mjorbc3,26,9,sleeping,activities,24,0.992,0.8,-1.9968185602622677,1
108,pv8mjorbc3,27,12,leisure,activities,35,0.932,0.742,-3.6505726374388012,1
109,pv8mjorbc3,27,12,peach,fruits,47,0.959,0.875,-0.10535879219645802,1
110,pv8mjorbc3,27,12,cherry,fruits,62,1.0,0.875,-0.04344806670581117,1
111,pv8mjorbc3,27,12,working,activities,26,0.962,0.625,-4.129446133086593,1
112,pv8mjorbc3,28,10,leisure,activities,9,0.794,0.652,-3.6505726374388012,0
113,pv8mjorbc3,28,10,efficiency,features,11,0.712,0.742,-3.436635922643991,0
114,pv8mjorbc3,28,10,speed,features,62,0.967,0.85,-2.6734566059538247,1
115,pv8mjorbc3,28,10,working,activities,45,0.664,0.342,-4.129446133086593,0
116,pv8mjorbc3,29,13,celery,vegetables,39,0.999,0.785,-0.16826240595420835,1
117,pv8mjorbc3,29,13,grape,fruits,9,0.868,0.7,-1.1579603179296847,0
118,pv8mjorbc3,29,13,banana,fruits,68,1.0,0.875,9.999950000398841e-06,1
119,pv8mjorbc3,29,13,eggplant,vegetables,14,0.869,0.875,-0.21717011946923673,0
120,pv8mjorbc3,30,11,celery,vegetables,54,0.834,0.785,-0.16826240595420835,1
121,pv8mjorbc3,30,11,safety,features,68,0.798,0.7,-2.629543317344972,1
122,pv8mjorbc3,30,11,comfort,features,45,0.819,0.672,-11.512925464970229,1
123,pv8mjorbc3,30,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,1
124,pv8mjorbc3,31,14,carrot,vegetables,59,0.945,0.652,-0.015028558610303744,1
125,pv8mjorbc3,31,14,efficiency,features,36,0.954,0.742,-3.436635922643991,1
126,pv8mjorbc3,31,14,speed,features,62,0.987,0.85,-2.6734566059538247,1
127,pv8mjorbc3,31,14,corn,vegetables,68,0.964,0.875,-0.3982917379023851,1
128,pv8mjorbc3,32,13,eggplant,vegetables,14,0.869,0.875,-0.21717011946923673,0
129,pv8mjorbc3,32,13,celery,vegetables,39,0.999,0.785,-0.16826240595420835,1
130,pv8mjorbc3,32,13,grape,fruits,9,0.868,0.7,-1.1579603179296847,0
131,pv8mjorbc3,32,13,banana,fruits,68,1.0,0.875,9.999950000398841e-06,1
132,pv8mjorbc3,33,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,1
133,pv8mjorbc3,33,11,celery,vegetables,54,0.834,0.785,-0.16826240595420835,1
134,pv8mjorbc3,33,11,safety,features,68,0.798,0.7,-2.629543317344972,1
135,pv8mjorbc3,33,11,comfort,features,45,0.819,0.672,-11.512925464970229,1
136,pv8mjorbc3,34,9,sleeping,activities,24,0.992,0.8,-1.9968185602622677,1
137,pv8mjorbc3,34,9,driving,activities,62,0.994,0.7,-2.7531029318499223,1
138,pv8mjorbc3,34,9,grape,fruits,17,0.996,0.85,-1.1579603179296847,1
139,pv8mjorbc3,34,9,banana,fruits,58,0.996,0.75,9.999950000398841e-06,1
140,pv8mjorbc3,35,12,working,activities,26,0.962,0.625,-4.129446133086593,1
141,pv8mjorbc3,35,12,leisure,activities,35,0.932,0.742,-3.6505726374388012,1
142,pv8mjorbc3,35,12,peach,fruits,47,0.959,0.875,-0.10535879219645802,1
143,pv8mjorbc3,35,12,cherry,fruits,62,1.0,0.875,-0.04344806670581117,1
144,pv8mjorbc3,36,15,sleeping,activities,24,0.977,0.8,-1.9968185602622677,1
145,pv8mjorbc3,36,15,driving,activities,62,0.949,0.7,-2.7531029318499223,1
146,pv8mjorbc3,36,15,safety,features,67,0.872,0.75,-2.629543317344972,1
147,pv8mjorbc3,36,15,comfort,features,45,0.87,0.672,-11.512925464970229,1
148,pv8mjorbc3,37,14,corn,vegetables,68,0.964,0.875,-0.3982917379023851,1
149,pv8mjorbc3,37,14,carrot,vegetables,59,0.945,0.652,-0.015028558610303744,1
150,pv8mjorbc3,37,14,efficiency,features,36,0.954,0.742,-3.436635922643991,1
151,pv8mjorbc3,37,14,speed,features,62,0.987,0.85,-2.6734566059538247,1
152,pv8mjorbc3,38,8,corn,vegetables,68,1.0,0.875,-0.3982917379023851,1
153,pv8mjorbc3,38,8,carrot,vegetables,61,0.995,0.875,-0.015028558610303744,1
154,pv8mjorbc3,38,8,peach,fruits,47,0.995,0.875,-0.10535879219645802,1
155,pv8mjorbc3,38,8,cherry,fruits,49,1.0,0.875,-0.04344806670581117,1
156,pv8mjorbc3,39,10,working,activities,45,0.664,0.342,-4.129446133086593,0
157,pv8mjorbc3,39,10,leisure,activities,9,0.794,0.652,-3.6505726374388012,0
158,pv8mjorbc3,39,10,efficiency,features,11,0.712,0.742,-3.436635922643991,0
159,pv8mjorbc3,39,10,speed,features,62,0.967,0.85,-2.6734566059538247,1
160,pv8mjorbc3,40,11,safety,features,68,0.798,0.7,-2.629543317344972,1
161,pv8mjorbc3,40,11,comfort,features,45,0.819,0.672,-11.512925464970229,1
162,pv8mjorbc3,40,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,1
163,pv8mjorbc3,40,11,celery,vegetables,54,0.834,0.785,-0.16826240595420835,1
164,pv8mjorbc3,41,8,peach,fruits,47,0.995,0.875,-0.10535879219645802,1
165,pv8mjorbc3,41,8,cherry,fruits,49,1.0,0.875,-0.04344806670581117,1
166,pv8mjorbc3,41,8,corn,vegetables,68,1.0,0.875,-0.3982917379023851,1
167,pv8mjorbc3,41,8,carrot,vegetables,61,0.995,0.875,-0.015028558610303744,1
168,pv8mjorbc3,42,10,efficiency,features,11,0.712,0.742,-3.436635922643991,0
